run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s4__T3__tau0.65__sig1.5,lawnmower,4,3.0,0.65,1.5,20,0.30374025434266744,0.36365692550569967,0.08074874686716732,87.3,0.390625,10.05,,,,shift
lawnmower__s0__T4__tau0.65__sig1.5,lawnmower,0,4.0,0.65,1.5,20,0.321629349762122,0.4241880669368571,0.09085213032581388,75.85,0.390625,10.3,,,,shift
lawnmower__s1__T4__tau0.65__sig1.5,lawnmower,1,4.0,0.65,1.5,20,0.29547253652831057,0.38380747003044513,0.07714598997493677,76.3,0.390625,10.4,,,,shift
lawnmower__s2__T4__tau0.65__sig1.5,lawnmower,2,4.0,0.65,1.5,20,0.32637490817726544,0.4120361351315539,0.08709273182957329,77.45,0.390625,9.7,,,,shift
lawnmower__s3__T4__tau0.65__sig1.5,lawnmower,3,4.0,0.65,1.5,20,0.31098418767501956,0.400052622244979,0.08294172932330765,77.1,0.390625,7.45,,,,shift
lawnmower__s4__T4__tau0.65__sig1.5,lawnmower,4,4.0,0.65,1.5,20,0.2909384229930364,0.38722268895378614,0.07730263157894679,75.45,0.390625,10.05,,,,shift
lawnmower__s0__T0.3__tau0.7__sig1.5,lawnmower,0,0.3,0.7,1.5,20,0.3642148568333838,0.3397447655835723,0.10275689223057569,124.65,0.390625,10.15,,,,shift
lawnmower__s1__T0.3__tau0.7__sig1.5,lawnmower,1,0.3,0.7,1.5,20,0.3403931480933945,0.3043013794201411,0.08881578947368354,126.55,0.390625,10.4,,,,shift
lawnmower__s2__T0.3__tau0.7__sig1.5,lawnmower,2,0.3,0.7,1.5,20,0.37835461210198557,0.34152702133174423,0.10150375939849547,122.05,0.390625,9.1,,,,shift
lawnmower__s3__T0.3__tau0.7__sig1.5,lawnmower,3,0.3,0.7,1.5,20,0.3564862073607017,0.31865585599810997,0.09531641604009954,127.6,0.390625,6.7,,,,shift
lawnmower__s4__T0.3__tau0.7__sig1.5,lawnmower,4,0.3,0.7,1.5,20,0.33284918746419534,0.3033933597473254,0.0885808270676685,126.4,0.390625,9.75,,,,shift
lawnmower__s0__T0.5__tau0.7__sig1.5,lawnmower,0,0.5,0.7,1.5,20,0.36275561476604123,0.3483446323645805,0.10236528822055062,119.35,0.390625,10.15,,,,shift
lawnmower__s1__T0.5__tau0.7__sig1.5,lawnmower,1,0.5,0.7,1.5,20,0.33500762275897283,0.3100411995879022,0.08748433583959835,121.25,0.390625,10.4,,,,shift
lawnmower__s2__T0.5__tau0.7__sig1.5,lawnmower,2,0.5,0.7,1.5,20,0.37637786395240835,0.3472265802917876,0.1009555137844604,118.35,0.390625,9.1,,,,shift
lawnmower__s3__T0.5__tau0.7__sig1.5,lawnmower,3,0.5,0.7,1.5,20,0.35482577071649773,0.3257792568344269,0.09484649122806947,122.65,0.390625,6.7,,,,shift
lawnmower__s4__T0.5__tau0.7__sig1.5,lawnmower,4,0.5,0.7,1.5,20,0.33096028161857366,0.31176776750897395,0.08803258145363344,120.6,0.390625,9.75,,,,shift
lawnmower__s0__T1__tau0.7__sig1.5,lawnmower,0,1.0,0.7,1.5,20,0.35647591710373266,0.3602404848045133,0.10056390977443537,111.05,0.390625,10.15,,,,shift
lawnmower__s1__T1__tau0.7__sig1.5,lawnmower,1,1.0,0.7,1.5,20,0.3310061844103351,0.3267554304936878,0.0864661654135332,110.75,0.390625,10.4,,,,shift
lawnmower__s2__T1__tau0.7__sig1.5,lawnmower,2,1.0,0.7,1.5,20,0.37010841959015855,0.3607879410317153,0.09923245614035014,109.65,0.390625,9.3,,,,shift
lawnmower__s3__T1__tau0.7__sig1.5,lawnmower,3,1.0,0.7,1.5,20,0.3500262419426762,0.3429590266400344,0.09351503759398427,112.1,0.390625,6.7,,,,shift
lawnmower__s4__T1__tau0.7__sig1.5,lawnmower,4,1.0,0.7,1.5,20,0.32334253646916555,0.3235855015901306,0.08599624060150311,111.3,0.390625,9.85,,,,shift
lawnmower__s0__T2__tau0.7__sig1.5,lawnmower,0,2.0,0.7,1.5,20,0.3388180798735197,0.3954814390007758,0.09562969924811959,90.5,0.390625,10.25,,,,shift
lawnmower__s1__T2__tau0.7__sig1.5,lawnmower,1,2.0,0.7,1.5,20,0.31182776011301405,0.3568211275846345,0.08153195488721743,90.8,0.390625,10.4,,,,shift
lawnmower__s2__T2__tau0.7__sig1.5,lawnmower,2,2.0,0.7,1.5,20,0.34924041076885215,0.3886891155372171,0.0936716791979943,91.6,0.390625,9.35,,,,shift
lawnmower__s3__T2__tau0.7__sig1.5,lawnmower,3,2.0,0.7,1.5,20,0.3329585620143215,0.3740980096916043,0.08905075187969858,92.6,0.390625,7.15,,,,shift
lawnmower__s4__T2__tau0.7__sig1.5,lawnmower,4,2.0,0.7,1.5,20,0.30867627922815766,0.35795953356560284,0.0820018796992475,90.9,0.390625,10.05,,,,shift
lawnmower__s0__T3__tau0.7__sig1.5,lawnmower,0,3.0,0.7,1.5,20,0.31882120473231923,0.42343782244848577,0.09006892230576376,75.45,0.390625,10.3,,,,shift
lawnmower__s1__T3__tau0.7__sig1.5,lawnmower,1,3.0,0.7,1.5,20,0.29425594351888473,0.3838874747925674,0.07683270676691673,76.0,0.390625,10.4,,,,shift
lawnmower__s2__T3__tau0.7__sig1.5,lawnmower,2,3.0,0.7,1.5,20,0.3224130194678924,0.4099640367163235,0.08599624060150311,77.1,0.390625,9.7,,,,shift
lawnmower__s3__T3__tau0.7__sig1.5,lawnmower,3,3.0,0.7,1.5,20,0.3086234506998271,0.40005234820905927,0.08231516290726756,76.5,0.390625,7.45,,,,shift
lawnmower__s4__T3__tau0.7__sig1.5,lawnmower,4,3.0,0.7,1.5,20,0.2897483826975385,0.3876599925987935,0.07698934837092675,74.95,0.390625,10.05,,,,shift
